,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
436,In-depth Cultural,Premium 5 Days pyramids & Cairo Sightseeing  Adventure," Cairo, Giza, Alexandria ", 1 to 99 ,"Family, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,5 days,273,191855
437,Sightseeing,Ancient mysteries and meditation Egypt tour package," Cairo, Aswan, Luxor, Giza ", 4 to 65 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Your Egypt Tours,11 days,4.270,110773
438,In-depth Cultural,Cairo and Alexandria: A Tale of Two Cities," Cairo, Giza, Alexandria ", 4 to 80 ,"Family, Cultural Photography, Private, Fully Guided, Christmas & New Year+4 more",Your Egypt Tours,5 days,908,110886
439,In-depth Cultural,Egypt 8 Days 7 Nights Tour Package to Cairo & Sharm El Sheikh," Cairo, Giza, Sharm el-Sheikh ", 2 to 65 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,8 days,2.089,110890
440,In-depth Cultural,Egypt Historical Capitals (Cairo & Alexandria) Tour Package," Cairo, Giza, Alexandria ", 1 to 85 ,"Private, Fully Guided, Sightseeing, Christmas & New Year+2 more",Your Egypt Tours,5 days,1.090,110932
441,In-depth Cultural,Egypt Romantic Honeymoon Vacation," Cairo, Giza, Sharm el-Sheikh ", 20 to 75 ,"Honeymoon Safari, Private, Honeymoon, Fully Guided, Christmas & New Year+3 more",Your Egypt Tours,8 days,1.590,110935
442,Explorer,"8 Days Cairo, Lake Nasser Cruise"," Cairo, Giza, Aswan, Abu Simbel ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,8 days,1.440,161231
443,In-depth Cultural,8 Days Best of Cairo and Nile Cruise Holiday," Cairo, Giza, Aswan, Edfu, Kom Ombo, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,8 days,1.031,170711
444,In-depth Cultural,"8 Days Top Cairo, Luxor and Aswan Holiday"," Cairo, Giza, Aswan, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,8 days,972,170731
445,In-depth Cultural,"10 Days Cairo, Aswan and Luxor with Sharm El Sheikh Holiday"," Cairo, Giza, Aswan, Luxor, Sharm el-Sheikh ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,10 days,1.284,175736
446,Explorer,"11 Days Cairo, Nile Cruise & Sharm El sheikh by Sleeper Train (8 destinations)"," Cairo, Giza, Aswan, Edfu, Kom Ombo, Luxor, Sharm el-Sheikh ", 1 to 98 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,11 days,1.335,175906
447,In-depth Cultural,5 days and 4 nights Egypt holiday package to Cairo & Alexandria," Cairo, Giza, Alexandria ", 1 to 100 ,"Family, Private, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Marko Egypt Tours,5 days,136,181707
448,In-depth Cultural,7 days Egypt King Tutankhamun Tour," Cairo, Giza, Aswan, Philae, Kom Ombo, Edfu, Esna, Luxor, Valley of the Kings ", 2 to 90 ,"Family, River Cruise, Private, Partially Guided, Christmas & New Year+3 more", Ibermundo Travel Egypt,7 days,1.375,192275
449,In-depth Cultural,CAIRO EXPRESS," Cairo, Giza, Memphis, Saqqarah ", 2 to 90 ,"Family, Private, Fully Guided+1 more",Planet Tours,5 days,463,194826
450,In-depth Cultural,"Signature Egypt & The Nile, Private Ultra Luxury Tour- Four Season Nile Plaza & Sonesta St. George Nile Cruise"," Cairo, Luxor, Edfu, Kom Ombo, Aswan, Abu Simbel ", 1 to 75 ,"Private, Fully Guided, Christmas & New Year+1 more",Look at Egypt Tours ,10 days,5.716,232890
451,In-depth Cultural,Egypt Best Attractions 10 Days / 9 Nights Holiday," Cairo, Giza, Aswan, Luxor, Hurghada ", 12 to 65 ,"Private, Fully Guided, Christmas & New Year+1 more",Your Egypt Tours,10 days,2.498,110392
452,In-depth Cultural,6 Days Cairo and Luxor Tour," Cairo, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,6 days,820,147704
453,In-depth Cultural,7 Days Cairo and Sharm El Shiekh Holiday," Cairo, Sharm el-Sheikh ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,7 days,699,170708
454,Active Adventure,Unique multiple city trip ~ Cairo; Alexandria; Aswan," Cairo, Alexandria, Aswan ", 18 to 80 ,"Group, Partially Guided, Christmas & New Year+1 more",ToBadaa,6 days,544,184887
455,In-depth Cultural,Egypt Archaeological Adventure Overland Tour," Cairo, Luxor, Edfu, Kom Ombo, Aswan, Abu Simbel ", 2 to 77 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Look at Egypt Tours ,9 days,1.486,232439
456,Explorer,"White Desert Safari 6 Days, 5 Nights"," Cairo, Giza, Bahariya Oasis ", 18 to 65 ,"Active Adventure, Private, Fully Guided, Christmas & New Year+2 more",Your Egypt Tours,6 days,1.226,110887
457,In-depth Cultural,6 Days Cairo and Sharm El Sheikh Holiday," Cairo, Giza, Sharm el-Sheikh ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,6 days,949,170363
458,In-depth Cultural,"8 Days Best of Cairo, Aswan, Luxor and Sharm El Sheikh Holiday"," Cairo, Giza, Aswan, Luxor, Sharm el-Sheikh ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,8 days,1.154,170727
459,Active Adventure,Egypt Heritage and Red Sea," Cairo, Aswan, Kom Ombo, Edfu, Luxor, Hurghada ", 2 to 80 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Agate Travel,11 days,2.652,182913
460,Active Adventure,"Exploring whole ~ Cairo, Giza & Alexandria ~"," Cairo, Giza, Alexandria ", 18 to 80 ,"Group, Partially Guided, Christmas & New Year+1 more",ToBadaa,5 days,409,185269
461,In-depth Cultural,"Egypt Experience 6 Days Cairo, Luxor & Aswan Holiday"," Cairo, Giza, Aswan, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,6 days,704,191891
462,In-depth Cultural,"11 Days Cairo, Luxor & Desert Safari Tour"," Cairo, Giza, Saqqarah, Luxor, Bahariya Oasis, White Desert ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,11 days,1.290,159270
463,In-depth Cultural,"Planet of History - 7 Days Cairo & Aswan, Luxor with Alexandria Holiday"," Cairo, Giza, Aswan, Luxor, Alexandria ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,7 days,1.117,191925
464,Explorer,"Panoramic Egypt Tour- Cairo, White Desert, Nile Cruise & The Red Sea"," Cairo, White Desert, Aswan, Edfu, Luxor, Hurghada ", 10 to 70 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Look at Egypt Tours ,11 days,1.864,136644
465,Explorer,5 Days Cairo & Luxor (3 destinations)," Cairo, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Ancient Egypt Tours,5 days,526,144533
466,In-depth Cultural,"9 Days Cairo, Aswan and Luxor with Sharm El Sheikh Holiday (8 destinations)"," Cairo, Giza, Aswan, Luxor, Sharm el-Sheikh ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,9 days,1.225,175716
467,Active Adventure,Sharm El-Sheikh & Cairo ~ Refreshing trip ~," Cairo, Giza, Sharm el-Sheikh ", 18 to 80 ,"Group, Partially Guided, Christmas & New Year+1 more",ToBadaa,6 days,681,185480
468,Active Adventure,~ Cairo and Giza highlights ~," Cairo, Giza ", 18 to 90 ,"Private, Group, Partially Guided, Christmas & New Year+2 more",ToBadaa,6 days,579,185744
469,In-depth Cultural,"Wonders of the Pharaohs 10 days Cairo, Luxor & Aswan Holiday"," Cairo, Giza, Aswan, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,10 days,818,192025
470,In-depth Cultural,Adventures with The Pharaohs Family Tour," Cairo, Giza, Aswan, Luxor ", 2 to 75 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Your Egypt Tours,8 days,2.271,111040
471,In-depth Cultural,7 Days Cairo and Hurghada Holiday," Cairo, Hurghada ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,7 days,777,148120
472,In-depth Cultural,7 Days The Best of Cairo and Sharm El Shiekh Holiday," Cairo, Sharm el-Sheikh ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,7 days,829,148138
473,In-depth Cultural,"10 Days Cairo, Luxor & Aswan Holiday"," Cairo, Giza, Aswan, Luxor ", 1 to 40 ,"Family, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,10 days,1.014,175728
474,In-depth Cultural,6 Days Adventure Trip In Cairo & Luxor In 5* Hotel," Cairo, Giza, Luxor, Valley of the Kings ", 4 to 80 ,"Family, Custom, Private, Partially Guided, Christmas & New Year+2 more", Ibermundo Travel Egypt,6 days,720,148780
475,In-depth Cultural,5 Days Cairo and Alexandria Private Tour," Cairo, Giza, Alexandria ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,5 days,345,170357
476,In-depth Cultural,6 Days Cairo and Oasis Desert Adventure," Cairo, Bahariya Oasis, White Desert, Dakhla ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,6 days,777,170516
477,Active Adventure,Cairo; Luxor Tour," Cairo, Giza, Faiyum, Luxor ", 18 to 80 ,"Group, Partially Guided, Christmas & New Year+1 more",ToBadaa,7 days,517,184782
478,In-depth Cultural,Premium Egypt," Cairo, Aswan, Edfu, Luxor ", 15 to 99 ,"Group, Fully Guided, Explorer, Christmas & New Year+2 more",Intrepid Premium,9 days,2.488,215352
479,In-depth Cultural,Egypt Honeymoon Tour Package," Cairo, Giza, Hurghada ", 18 to 65 ,"Honeymoon Safari, Private, Honeymoon, Fully Guided, Christmas & New Year+3 more",Your Egypt Tours,8 days,1.590,110936
480,In-depth Cultural,Egypt Unplugged For Teens - 10 days," Cairo, Giza, Luxor, Hurghada ", 4 to 65 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,10 days,1.908,111060
481,River Cruise,Nile Cruise from Aswan for 6 Nights," Aswan, Edfu, Luxor, Kom Ombo, Abu Simbel ", 18 to 80 ,"Private, Fully Guided, Explorer, Historical, Christmas & New Year+3 more",Egyptology Travel,7 days,645,127930
482,In-depth Cultural,6 Days Best of Cairo and Alexandria Holiday," Cairo, Alexandria, Giza ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,6 days,734,147900
483,In-depth Cultural,6 Days Cairo & Alexandria Tour," Cairo, Alexandria ", 18 to 80 ,"Private, Group, Partially Guided, Historical, Christmas & New Year+3 more",Egypt Online Tour,6 days,563,179359
484,In-depth Cultural,"Cairo, Luxor and Hurghada 8 Days / 7 Nights Tour Package"," Cairo, Giza, Luxor, Hurghada ", 4 to 65 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Your Egypt Tours,8 days,1.816,110763
485,Sightseeing,Wonders of Ancient Egypt 2022," Cairo, Giza, Luxor, Aswan, Abu Simbel ", 1 to 65 ,"Private, Fully Guided, Christmas & New Year+1 more",Your Egypt Tours,11 days,3.407,110873
486,In-depth Cultural,Wonders of Egypt Journey," Cairo, Giza, Aswan, Luxor ", 3 to 75 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,8 days,1.590,110882
487,In-depth Cultural,Egypt Luxury Holidays," Cairo, Giza, Luxor, Sharm el-Sheikh ", 4 to 65 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,9 days,2.952,111046
488,In-depth Cultural,"9 Days Cairo, Aswan and Luxor with Hurghada Holiday"," Cairo, Giza, Aswan, Luxor, Hurghada ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,9 days,1.284,150145
489,In-depth Cultural,"10 Days Cairo, Luxor and Aswan Holiday"," Cairo, Giza, Aswan, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,10 days,1.204,153141
490,In-depth Cultural,9 Days Cairo and Nile Cruise Holiday (including Komombo)," Cairo, Giza, Aswan, Edfu, Kom Ombo, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,9 days,1.056,175711
491,Explorer,Egypt Safari Tour Package," Cairo, El Alamein, Siwa Oasis ", 12 to 65 ,"Active Adventure, Private, Fully Guided, Christmas & New Year+2 more",Your Egypt Tours,5 days,999,110876
492,In-depth Cultural,Sightseeing Egypt Basic Attractions in a Week," Cairo, Giza, Luxor, Alexandria ", 4 to 65 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,7 days,1.499,110889
493,Historical,Nile Family Adventure," Cairo, Giza, Aswan, Abu Simbel, Luxor ", 4 to 65 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Your Egypt Tours,9 days,2.362,111049
494,In-depth Cultural,5 Days Pyramids and El baharia Oasis," Cairo, Giza, Bahariya Oasis ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,5 days,481,170303
495,In-depth Cultural,"7 Days Cairo, Aswan and Luxor with Best of Alexandria Holiday"," Cairo, Aswan, Luxor, Alexandria ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,7 days,1.122,170541
496,In-depth Cultural,"Egypt Spiritual Tour Package 8 Days, 7 Nights"," Cairo, Mount Sinai, Dahab ", 12 to 65 ,"Spiritual Walks, Private, Fully Guided, Christmas & New Year+2 more",Your Egypt Tours,8 days,1.681,110880
497,In-depth Cultural,Luxury Tour Package of Egypt," Cairo, Giza, Luxor, Sharm el-Sheikh ", 1 to 75 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,9 days,2.952,111043
498,In-depth Cultural,6 Days Cairo and Hurghada Holiday," Cairo, Hurghada ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,6 days,1.036,147706
499,In-depth Cultural,10 Days Cairo & Hurghada Holiday (4 destinations)," Cairo, Giza, Hurghada ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,10 days,1.204,153152
500,In-depth Cultural,"9 Days Cairo, Aswan and Luxor with Hurghada Holiday "" 4 Stars """," Cairo, Giza, Aswan, Luxor, Hurghada ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,9 days,1.254,174676
501,In-depth Cultural,The Mother of Nations Tour package," Cairo, Giza, Aswan, Kom Ombo, Edfu, Luxor, Hurghada ", 1 to 99 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Egypt Tours Club,9 days,2.725,176172
502,Explorer,Exploration Egypt 8 Days Cairo & Nile Cruise 5* by Sleeper Train," Cairo, Aswan, Luxor ", 3 to 85 ,"Family, Custom, Private, Partially Guided, Christmas & New Year+2 more", Ibermundo Travel Egypt,8 days,985,146872
503,In-depth Cultural,"8 Days Cairo, Aswan, Luxor and Hurghada Tour Package"," Cairo, Giza, Aswan, Luxor, Hurghada ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,8 days,1.117,170724
504,In-depth Cultural,5 DAYS 4 NIGHTS EGYPT HOLIDAY PACKAGE TO CAIRO & ALEXANDRIA," Cairo, Giza, Alexandria ", 1 to 100 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Marko Egypt Tours,5 days,141,173682
505,In-depth Cultural,Egypt Christian Journey- Biblical Tour of Egypt the Steps of Jesus," Cairo, Alexandria, Mount Sinai ", 6 to 85 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Look at Egypt Tours ,9 days,1.777,191848
506,In-depth Cultural,Luxor & Cairo Must See Ancient Monuments," Cairo, Giza, Luxor ", 4 to 65 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,5 days,908,110476
507,In-depth Cultural,"Egypt History and Nature 8 Days, 7 Nights Tour Package"," Cairo, Giza, Luxor, Hurghada ", 4 to 65 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Your Egypt Tours,8 days,1.816,110939
508,Explorer,6 Days Cairo and Nile Cruise Holiday," Cairo, Giza, Aswan, Kom Ombo, Edfu, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,6 days,1.090,147903
509,In-depth Cultural,9 Days Cairo And Nile Cruise With Alexandria Holiday," Cairo, Giza, Luxor, Edfu, Kom Ombo, Aswan, Alexandria ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,9 days,1.267,149740
510,In-depth Cultural,"10 Days Cairo, Aswan and Luxor with Holidays to Sharm el Sheikh"," Cairo, Giza, Aswan, Luxor, Sharm el-Sheikh ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,10 days,1.377,153156
511,In-depth Cultural,"7 Days Cairo, Luxor & Aswan Holiday"," Cairo, Aswan, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,7 days,1.044,170572
512,In-depth Cultural,10 Days Cairo & Hurghada Holiday (5 destinations)," Cairo, Giza, Hurghada ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,10 days,1.022,175734
513,Active Adventure,The Nile and Red Sea Sightseeing," Cairo, Luxor, Hurghada ", 5 to 75 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,8 days,1.272,110866
514,In-depth Cultural,The Egyptian Experience for Women," Cairo, Giza, Luxor, Alexandria ", 12 to 64 ,"Private, Fully Guided, Sightseeing, Christmas & New Year+2 more",Your Egypt Tours,7 days,1.499,110931
515,In-depth Cultural,12 Day Isis Mediation Egypt  tour," Cairo, Aswan, Luxor, Abydos, Dendera ", 8 to 80 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Vacations to go travel,12 days,2.544,127521
516,Explorer,Egypt with Nile Cruise (8 destinations)," Cairo, Giza, Luxor, Edfu, Kom Ombo, Aswan ", 5 to 80 ,"Family, River Cruise, Group, Fully Guided, Historical+3 more",Globus,10 days,2.237,208187
517,Active Adventure,Cairo : 3 Days Bahariya Oasis + Camping in the white desert with Round Trip PRIVATE Transfers," Cairo, Bahariya Oasis, White Desert ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,3 days,250,172063
518,In-depth Cultural,"The Ancient Egyptian Empire : 12 Days Cairo , Aswan , Nile Cruise , Luxor , Red Sea with Domestic flight"," Cairo, Aswan, Kom Ombo, Edfu, Luxor, Hurghada ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,12 days,1.136,228115
519,In-depth Cultural,"Valley of the Kings Tour : 3-Days Guided tours to Aswan, Abu Simbel and Luxor ( Optional Sunrise Hot air Balloon )"," Aswan, Abu Simbel, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,3 days,300,156515
520,In-depth Cultural,"16 Days Cairo, Alexandria, Nile Cruise and Sharm El Sheikh"," Cairo, Giza, Saqqarah, Luxor, Edfu, Kom Ombo, Aswan, Sharm el-Sheikh, Alexandria ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,16 days,1.605,178588
521,Explorer,4 Days 3 Nights SIWA oasis From Cairo – Desert Safari Egypt," Cairo, Siwa Oasis ", 1 to 99 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Ancient Egypt Tours,4 days,300,232343
522,In-depth Cultural,Egypt Xmas & Easter group tour 2022/2023," Cairo, Giza, Luxor, Edfu, Kom Ombo, Aswan ", 12 to 75 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Vacations to go travel,10 days,3.352,139582
523,Explorer,Classic Egypt," Cairo, Giza, Saqqarah, Luxor, Valley of the Kings, Edfu, Kom Ombo, Aswan, Philae, Elephantine Island, Esna+2 more", 8 to 95 ,"Family, River Cruise, Private, Group, Fully Guided, Historical+4 more",Encounters Travel,12 days,2.505,219895
524,Explorer,Nile Cruise + Red Sea Extension," Cairo, Giza, Aswan, Philae, Abu Simbel, Kom Ombo, Edfu, Luxor, Valley of the Kings, Safaga+1 more", 16 to 85 ,"River Cruise, Group, Fully Guided, Christmas & New Year+2 more",Explore!,13 days,2.437,124520
525,Explorer,Picturesque Egypt Solo Tour," Cairo, Luxor, Edfu, Aswan ", 12 to 99 ,"Private, Group, Fully Guided+1 more",Indus Travels,7 days,1.135,207063
526,,Luxor overnight private from Hurghada," Hurghada, Qena, Luxor ", 17 to 70 ,"Private, Fully Guided",SamEgypt Tours,2 days,268,156920
527,Active Adventure,"Package 7 Days 6 Nights to Siwa, Bahariya & White Desert"," Cairo, El Alamein, Siwa Oasis, Bahariya Oasis, White Desert ", 3 to 100 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,7 days,935,142865
528,In-depth Cultural,Cairo Short Vacations 3 Days Guided Tour," Cairo, Giza ", 1 to 99 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Ancient Egypt Tours,3 days,147,191810
529,In-depth Cultural,"3 Days Guided tours to Aswan, Abu Simbel and Luxor"," Aswan, Abu Simbel, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Ancient Egypt Tours,3 days,218,191808
530,Explorer,"20 Days Cairo, Desert Safari to Luxor, Nile Cruise, Hurghada & Alexandria"," Cairo, Giza, Bahariya Oasis, White Desert, Farafra, Kharga Oasis, Luxor, Kom Ombo, Edfu, Aswan, Hurghada, Alexandria+4 more", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,20 days,2.323,160758
531,River Cruise,Nile Cruise from Aswan for 3 Nights," Aswan, Edfu, Esna, Luxor ", 18 to 80 ,"Private, Fully Guided, Explorer, Historical, Christmas & New Year+3 more",Egyptology Travel,4 days,372,139189
532,In-depth Cultural,"18 Days Cairo, Desert Safari, Sharm El Sheikh & Nile Cruise"," Cairo, Saqqarah, Giza, Siwa Oasis, Bahariya Oasis, Aswan, Edfu, Kom Ombo, Luxor, Sharm el-Sheikh, Mount Sinai+2 more", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,18 days,2.091,160741
533,,MAGIC BLACK AND WHITE DESERT: EGYPT - MAGICO DESIERTO NEGRO Y BLANCO: EGIPTO," White Desert, Cairo ", 5 to 100 ,"Private, Partially Guided, Christmas & New Year+1 more",Itaca Holiday,2 days,141,231536
534,In-depth Cultural,Wake Up Cairo Tour - 3 Days Guided Tours," Cairo, Giza ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,3 days,209,156521
535,Active Adventure,"10 Days Package to Luxor, Aswan & Lake Nasser Cruise - Private Tours"," Luxor, Valley of the Kings, Edfu, Kom Ombo, Philae, Aswan, Abu Simbel ", 6 to 100 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,10 days,1.880,142382
536,In-depth Cultural,4 Days: Top Cairo Tour," Cairo, Giza, Saqqarah ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,241,170305
537,Active Adventure,Package 5 Days 4 Nights Short Break at Siwa Oasis," Cairo, El Alamein, Siwa Oasis ", 3 to 100 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,5 days,685,142886
538,River Cruise,Package 5 Days 4 Nights to Splendours of The Nile Tour," Luxor, Valley of the Kings, Edfu, Kom Ombo, Aswan, Philae ", 12 to 100 ,"Private, Group, Fully Guided, Explorer, Christmas & New Year+3 more",Sun Pyramid Tours,5 days,714,142396
539,In-depth Cultural,Egypt Nile Temptation," Cairo, Aswan, Luxor ", 12 to 80 ,"Group, Partially Guided, Christmas & New Year+1 more",Alacart Travel Egypt,8 days,1.025,163830
540,In-depth Cultural,4 Day Cairo City Break: Pyramids and Sphinx with 5-Star Hotel," Cairo, Giza ", 4 to 80 ,"Family, Custom, Private, Partially Guided, Christmas & New Year+2 more", Ibermundo Travel Egypt,4 days,575,147255
541,,Camping in the White & Black Deserts (Bahariya Oasis) & Cairo Private Transfer," Cairo, Bahariya Oasis, White Desert ", 3 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,2 days,204,216681
542,In-depth Cultural,Journey to Cairo with Nile Cruise 8 days," Cairo, Luxor, Valley of the Kings, Edfu, Kom Ombo, Aswan, Giza ", 1 to 99 ,"Family, River Cruise, Private, Fully Guided, Historical, Christmas & New Year+4 more",Booking Tours,8 days,1.635,112635
543,In-depth Cultural,Classic Egypt Tour 8 Days," Cairo, Aswan, Kom Ombo, Edfu, Luxor ", 1 to 80 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Deluxe Travel,8 days,785,139533
544,In-depth Cultural,4 Day: Top Luxor & Aswan Private Tour," Luxor, Aswan, Abu Simbel ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,432,170346
545,In-depth Cultural,4 Days Cairo and Alexandria (4 destinations)," Cairo, Giza, Alexandria ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,285,170296
546,In-depth Cultural,Egypt ( Cairo - Giza - Alexandria)," Giza, Cairo, Alexandria ", 1 to 88 ,"Family, Group, Partially Guided, Historical, Christmas & New Year+3 more",ETL Travel,5 days,382,141006
547,In-depth Cultural,Package 5 days 4 nights Cairo to Luxor Tour," Cairo, Giza, Luxor, Valley of the Queens, Valley of the Kings ", 3 to 99 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,5 days,937,142334
548,In-depth Cultural,Cairo and Luxor 4 days from Taba," Taba, Cairo, Luxor, Valley of the Kings ", 1 to 99 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Booking Tours,4 days,877,99051
